Category,book,Model,Feedback_Model,RougeL_prefix-probing,RougeL_simple_agent_extraction,RougeL_simple_agent_jailbreak,RougeL_simple_agent_extraction_refined_first,RougeL_simple_agent_extraction_refined_best_no_jail,RougeL_simple_agent_extraction_refined_best,Spans_prefix-probing,Passages_prefix-probing,AvgSpanLength_prefix-probing,MaxSpanLength_prefix-probing,Spans_simple_agent_extraction,Passages_simple_agent_extraction,AvgSpanLength_simple_agent_extraction,MaxSpanLength_simple_agent_extraction,Spans_simple_agent_jailbreak,Passages_simple_agent_jailbreak,AvgSpanLength_simple_agent_jailbreak,MaxSpanLength_simple_agent_jailbreak,Spans_simple_agent_extraction_refined_first,Passages_simple_agent_extraction_refined_first,AvgSpanLength_simple_agent_extraction_refined_first,MaxSpanLength_simple_agent_extraction_refined_first,Spans_simple_agent_extraction_refined_best_no_jail,Passages_simple_agent_extraction_refined_best_no_jail,AvgSpanLength_simple_agent_extraction_refined_best_no_jail,MaxSpanLength_simple_agent_extraction_refined_best_no_jail,Spans_simple_agent_extraction_refined_best,Passages_simple_agent_extraction_refined_best,AvgSpanLength_simple_agent_extraction_refined_best,MaxSpanLength_simple_agent_extraction_refined_best
Public_Domain,Pride_and_Prejudice,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.238348146,0.604179614,0.644755849,0.70696218,0.65702152,0.724315187,164,412,119.0731707,361,962,2586,125.6569647,653,986,2629,124.7241379,653,1131,2977,123.4792219,653,1075,2898,126.0855814,653,1169,3077,123.4764756,653
Public_Domain,Pride_and_Prejudice,claude-3-7-sonnet-20250219,gpt-4.1-2025-04-14,0.127076067,0.804643189,0.939316564,0.975987079,0.831725968,0.979603997,214,638,137.0841121,524,1446,5081,158.7233748,613,1696,5850,156.410967,613,1764,6153,158.1247166,688,1491,5323,161.1395037,688,1772,6180,158.0569977,688
Public_Domain,Pride_and_Prejudice,deepseek-chat,gpt-4.1-2025-04-14,0.184922692,0.68849599,0.757257195,0.819434768,0.706200144,0.840091333,109,356,147.7981651,474,1348,4075,139.3775964,674,1398,4249,139.8805436,703,1532,4646,139.4523499,779,1391,4232,140.0474479,674,1616,4809,136.9987624,779
Public_Domain,Pride_and_Prejudice,gemini-2.5-flash-preview-04-17,gpt-4.1-2025-04-14,0.126405776,0.095611185,0.279883145,0.308945516,0.101642495,0.309741568,14,28,93.21428571,257,89,132,73.04494382,258,125,176,69.544,258,147,210,69.92517007,258,95,148,75.66315789,258,147,210,69.93197279,258
Public_Domain,Pride_and_Prejudice,gemini-2.5-pro-preview-05-06,gpt-4.1-2025-04-14,0.040082711,0.133353212,0.222678606,0.250555535,0.139909527,0.252469596,47,80,84,234,227,658,134.8105727,452,371,944,120.5067385,452,432,1080,118.3287037,452,236,689,135.2118644,452,435,1090,118.5954023,452
Public_Domain,Pride_and_Prejudice,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,0.147194632,0.243552989,0.260938412,0.284942795,0.269962317,0.290938097,12,42,154.8333333,373,37,80,100.7027027,230,37,80,100.7027027,230,40,83,96.275,230,39,82,97.71794872,230,40,83,96.275,230
Public_Domain,Pride_and_Prejudice,gpt-4.1-nano-2025-04-14,gpt-4.1-2025-04-14,0.128774317,0.174620537,0.197681557,0.219228839,0.196281996,0.22135825,0,0,0,0,1,2,86,86,1,2,86,86,1,2,86,86,1,2,86,86,1,2,86,86
Public_Domain,Pride_and_Prejudice,Qwen_Qwen3-32B,gpt-4.1-2025-04-14,0.122490726,0.219826803,0.239652464,0.246209794,0.225926905,0.246875516,2,3,67.5,86,7,12,87.28571429,110,7,12,87.28571429,110,7,12,87.14285714,110,7,12,87.14285714,110,7,12,87.14285714,110
Public_Domain,Christmas_Carol,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.715493671,0.832174863,0.914224502,0.969645708,0.866950064,0.979839026,299,1021,153.6521739,1520,322,1180,162.9409938,2033,347,1271,163.0230548,2033,409,1522,165.3789731,1521,386,1409,162.4740933,1521,415,1548,165.660241,1521
Public_Domain,Christmas_Carol,claude-3-7-sonnet-20250219,gpt-4.1-2025-04-14,0.016509391,0.044352186,0.34351602,0.526408171,0.044352186,0.849664162,3,3,51.66666667,54,40,68,85.6,147,214,441,97.72897196,306,344,741,103.375,384,40,68,85.6,147,606,1333,104.6782178,459
