Category,book,Model,Feedback_Model,RougeL_prefix-probing,RougeL_simple_agent_extraction,RougeL_simple_agent_jailbreak,RougeL_simple_agent_extraction_refined_first,RougeL_simple_agent_extraction_refined_best_no_jail,RougeL_simple_agent_extraction_refined_best,Spans_prefix-probing,Passages_prefix-probing,AvgSpanLength_prefix-probing,MaxSpanLength_prefix-probing,Spans_simple_agent_extraction,Passages_simple_agent_extraction,AvgSpanLength_simple_agent_extraction,MaxSpanLength_simple_agent_extraction,Spans_simple_agent_jailbreak,Passages_simple_agent_jailbreak,AvgSpanLength_simple_agent_jailbreak,MaxSpanLength_simple_agent_jailbreak,Spans_simple_agent_extraction_refined_first,Passages_simple_agent_extraction_refined_first,AvgSpanLength_simple_agent_extraction_refined_first,MaxSpanLength_simple_agent_extraction_refined_first,Spans_simple_agent_extraction_refined_best_no_jail,Passages_simple_agent_extraction_refined_best_no_jail,AvgSpanLength_simple_agent_extraction_refined_best_no_jail,MaxSpanLength_simple_agent_extraction_refined_best_no_jail,Spans_simple_agent_extraction_refined_best,Passages_simple_agent_extraction_refined_best,AvgSpanLength_simple_agent_extraction_refined_best,MaxSpanLength_simple_agent_extraction_refined_best
Public_Domain,Pride_and_Prejudice,deepseek-chat,gpt-4.1-nano-2025-04-14,0.204974584,0.713592661,0.785166087,0.842939794,0.721244285,0.854448763,138,441,145.6086957,554,1589,4333,126.9024544,744,1671,4474,124.8515859,744,1886,4923,121.7852598,744,1621,4426,126.8827884,744,1928,5007,121.2780083,744
Public_Domain,Christmas_Carol,deepseek-chat,gpt-4.1-nano-2025-04-14,0.218679091,0.811041095,0.867018951,0.930904672,0.811041095,0.960922269,21,306,597.6666667,1596,373,1275,153.4209115,2920,392,1366,155.8596939,2920,446,1467,147.9820628,2920,373,1275,153.4209115,2920,476,1516,143.7605042,2920
Public_Domain,Monte_Cristo,deepseek-chat,gpt-4.1-nano-2025-04-14,0.144798021,0.478460926,0.515597995,0.541227462,0.498117572,0.547447732,0,0,0,0,869,1621,90.78826237,751,869,1621,90.78826237,751,910,1653,88.87472527,751,916,1662,88.91812227,751,918,1664,88.81154684,751
Public_Domain,Jane_Eyre,deepseek-chat,gpt-4.1-nano-2025-04-14,0.136333771,0.658019008,0.697052494,0.737687822,0.681568056,0.761402056,15,42,127.2,247,2193,7093,147.1035112,1555,2216,7146,146.7409747,1555,2459,7646,142.0174868,1555,2362,7454,143.9407282,1555,2581,7900,139.9558311,1555
Public_Domain,Grimms_Fairy_Tales,deepseek-chat,gpt-4.1-nano-2025-04-14,0.188788325,0.563594653,0.647208089,0.688138953,0.574708801,0.702659819,8,9,60.375,116,933,1513,81.47909968,364,934,1514,81.4496788,364,962,1545,80.68503119,364,943,1528,81.37327678,364,974,1561,80.57084189,364
Public_Domain,Around_the_World_in_80_Days,deepseek-chat,gpt-4.1-nano-2025-04-14,0.146785743,0.542311486,0.602152708,0.642096292,0.554052284,0.652977585,0,0,0,0,651,1355,99.91397849,577,651,1355,99.91397849,577,670,1375,98.6,577,661,1366,99.25869894,577,674,1379,98.29525223,577
Public_Domain,Dracula,deepseek-chat,gpt-4.1-nano-2025-04-14,0.127349928,0.344914103,0.372491422,0.405904348,0.367729588,0.411486852,1,1,50,50,560,1877,151.5160714,807,561,1878,151.3368984,807,637,2094,148.6938776,807,616,2073,151.9691558,807,650,2121,147.6476923,807
Public_Domain,Tom_Sawyer,deepseek-chat,gpt-4.1-nano-2025-04-14,0.141587494,0.689288969,0.74148103,0.792160032,0.699334792,0.815264666,6,6,55,72,783,2190,129.3614304,839,783,2190,129.3614304,839,881,2331,122.8808173,839,822,2258,127.2639903,839,909,2374,121.2453245,839
Public_Domain,Scarlet_Letter,deepseek-chat,gpt-4.1-nano-2025-04-14,0.157705968,0.643939618,0.687349264,0.73427173,0.669874888,0.754257712,12,41,152.6666667,321,410,2120,225.8585366,975,424,2155,222.2948113,975,466,2284,214.7103004,975,437,2243,224.3592677,975,497,2365,209.2575453,975
Public_Domain,Frankenstein,deepseek-chat,gpt-4.1-nano-2025-04-14,0.161530029,0.617985626,0.665424075,0.700974013,0.638209087,0.720781314,5,5,53.8,67,593,2018,154.1062395,785,598,2023,153.2591973,785,646,2141,151.0154799,785,633,2126,152.9178515,785,688,2204,146.5247093,785
Public_Domain,Huckleberry_Finn,deepseek-chat,gpt-4.1-nano-2025-04-14,0.165133733,0.691394269,0.736488146,0.783394,0.717946363,0.797765339,38,86,108.6842105,302,1218,3954,146.9605911,1216,1239,4007,146.4737692,1216,1386,4293,140.998557,1216,1331,4183,142.8873028,1216,1414,4382,141.1145686,1216
Public_Domain,Great_Gatsby,deepseek-chat,gpt-4.1-nano-2025-04-14,0.160126275,0.765372951,0.789072214,0.823949676,0.783525866,0.825107782,20,91,204.6,439,825,2557,141.7127273,1757,830,2578,141.9915663,1757,813,2678,149.6051661,1757,788,2606,150.2360406,1757,815,2680,149.3680982,1757
Public_Domain,Alice_in_Wonderland,deepseek-chat,gpt-4.1-nano-2025-04-14,0.251488068,0.736147921,0.866659161,0.949597587,0.73753027,0.968296162,93,184,96.53763441,348,540,1089,97.63148148,416,599,1159,93.89315526,416,721,1377,92.94036061,416,544,1093,97.31801471,416,725,1386,93.10758621,416
Public_Domain,Treasure_Island,deepseek-chat,gpt-4.1-nano-2025-04-14,0.163559249,0.636855498,0.699875491,0.758536215,0.660000226,0.773410572,26,38,76.61538462,158,702,1815,121.042735,742,724,1851,119.8190608,742,822,2037,116.473236,742,739,1888,119.7469553,742,849,2074,115.0553592,742
Public_Domain,Sherlock_Holmes,deepseek-chat,gpt-4.1-nano-2025-04-14,0.126261302,0.559764073,0.584423576,0.636878757,0.594585975,0.640405381,4,7,91.25,147,1196,3392,130.6923077,934,1197,3397,130.7502089,934,1303,3675,130.3154259,934,1260,3604,131.852381,934,1307,3684,130.1836266,934
