chapter_idx,chapter_title,event_idx,word_count,prefix-probing_rougeL,simple_agent_extraction_rougeL,simple_agent_extraction_refined_best_rougeL,simple_agent_extraction_refined_first_rougeL,prefix-probing_weighted_rougeL,simple_agent_extraction_weighted_rougeL,simple_agent_extraction_refined_best_weighted_rougeL,simple_agent_extraction_refined_first_weighted_rougeL
0,Chapter 0,0,336,0.25435540069686413,0.5679442508710801,0.5679442508710801,0.5679442508710801,0.0011300797957600078,0.0025233288590257703,0.0025233288590257703,0.0025233288590257703
0,Chapter 0,1,426,0.20485175202156333,0.33423180592991913,0.7520215633423181,0.5363881401617251,0.0011539265115328853,0.0018827222030273392,0.004236124956811514,0.0030214654709874236
0,Chapter 0,2,401,0.22527472527472528,0.3956043956043956,0.49725274725274726,0.49725274725274726,0.0011944987813075508,0.002097656396442528,0.0026366375538617887,0.0026366375538617887
0,Chapter 0,3,88,0.7432432432432432,0.8513513513513513,0.8783783783783784,0.8783783783783784,0.0008648534287864677,0.0009906502911554084,0.0010220995067476437,0.0010220995067476437
0,Chapter 0,4,404,0.22641509433962265,0.4779874213836478,0.6477987421383647,0.610062893081761,0.001209527121799481,0.002553446146021126,0.0034605914873707374,0.0032590036337374903
0,Chapter 0,5,75,0.125,0.75,0.953125,0.765625,0.00012396530293814296,0.0007437918176288578,0.0009452354349033401,0.0007592874804961256
1,Chapter 1,0,333,0.21428571428571427,0.30714285714285716,0.3535714285714286,0.32857142857142857,0.0009435530486491795,0.0013524260363971575,0.0015568625302711464,0.0014467813412620753
1,Chapter 1,1,470,0.21739130434782608,0.2898550724637681,0.3188405797101449,0.3188405797101449,0.0013510421421664275,0.0018013895228885704,0.001981528475177427,0.001981528475177427
1,Chapter 1,2,149,0.25396825396825395,0.4523809523809524,0.4523809523809524,0.4523809523809524,0.0005003738111399497,0.0008912908510930357,0.0008912908510930357,0.0008912908510930357
1,Chapter 1,3,124,0.3103448275862069,0.6637931034482759,0.6982758620689655,0.6896551724137931,0.0005088561952329841,0.0010883868620261048,0.0011449264392742143,0.0011307915449621868
1,Chapter 1,4,212,0.16393442622950818,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.00045955224870620863,0.0011488806217655218,0.0011488806217655218,0.0011488806217655218
1,Chapter 1,5,36,0.1111111111111111,1.0,1.0,1.0,5.2891862586941e-05,0.00047602676328246897,0.00047602676328246897,0.00047602676328246897
2,Chapter 2,0,364,0.2696969696969697,0.6,0.7181818181818181,0.6454545454545455,0.0012980945305807127,0.0028878956972469786,0.0034567236376138073,0.003106675674311144
